name,time
2976,742
2977,812
2978,874
2979,940
297,774
2980,767
2981,846
2982,756
2983,750
2984,753
2985,764
2986,762
2987,771
2988,812
2989,884
298,976
2990,1043
2991,819
2992,966
2993,849
2994,888
2995,856
2996,891
2997,834
2998,965
2999,771
299,795
29,923
2,903
3000,895
3001,906
3002,763
3003,828
3004,787
3005,723
3006,789
3007,826
3009,822
3010,816
3011,751
3012,776
3013,744
3014,723
3015,755
3016,714
3017,810
3018,731
3019,743
301,757
3020,789
3021,804
3022,958
3023,997
3024,938
3025,843
3026,832
3027,905
3028,831
3029,753
3030,728
3031,853
3032,692
3033,944
3034,993
3035,916
3036,851
3037,699
3038,703
3039,721
303,890
3040,864
3041,980
3042,824
3043,920
3044,916
3046,733
3047,914
3048,833
3049,795
304,790
3050,817
3051,783
3052,888
3053,942
3055,779
3056,797
3057,761
3058,858
3059,771
305,701
3060,728
3061,703
3062,732
3063,790
3064,904
3065,746
3066,820
3067,841
3068,837
3069,864
306,790
3070,798
3071,840
3072,853
3073,812
3074,801
3075,812
3076,813
3077,805
3078,822
3079,765
307,773
3080,813
3081,856
3082,811
3083,809
3084,707
3085,696
3086,684
3087,751
3088,831
3089,851
308,806
3090,815
3091,777
3092,832
3093,778
3094,763
3095,774
3096,830
3097,746
3098,843
3099,769
309,809
3100,827
3101,728
3103,800
3104,804
3105,852
3106,769
3107,800
3108,835
3109,805
310,764
3110,815
3111,817
3112,897
3113,862
3115,761
3116,722
3117,918
3118,1044
3119,870
311,772
3120,819
3121,770
3122,828
3123,1057
3124,870
3125,888
3126,1135
3127,1204
3128,1142
3129,976
312,843
3130,887
3131,836
3132,810
3133,873
3134,778
3136,789
3137,1295
3138,1247
3139,1154
313,983
3140,874
3141,813
3142,801
3143,806
3144,795
3145,769
3146,837
3147,741
3148,785
3149,805
314,758
3151,757
3152,821
3153,774
3154,816
3155,761
3156,783
3157,1112
3158,1119
3159,944
315,845
3160,890
3161,916
3162,940
3163,881
3164,904
3165,886
3166,863
3167,842
3168,880
3169,793
316,868
3170,842
3171,855
3172,797
3174,814
3175,826
3176,829
3177,801
3178,847
3179,899
317,932
3180,915
3181,809
3182,845
3183,969
3184,852
3185,852
3186,817
3187,1236
3188,1323
3189,1385
318,1118
3190,894
3191,1184
3192,1306
3193,1369
3194,1229
3195,1045
3197,917
3198,968
3199,874
319,804
31,862
3200,866
3201,733
3202,757
3203,647
3204,683
3205,719
3206,760
3207,724
3208,767
3209,729
320,695
3210,808
3211,769
3212,852
3213,797
3214,828
3215,817
3216,805
3217,809
3219,774
321,752
3220,879
3221,798
3222,805
3223,764
3225,836
3226,830
3227,809
3228,754
322,860
3230,905
3231,743
3232,761
3233,1011
3234,1245
3235,1099
3237,1040
3238,1148
3239,971
323,801
3240,742
3241,710
3242,708
3243,737
3244,728
3245,765
3246,677
3248,692
3249,698
324,701
3250,751
3251,701
3252,870
3253,912
3254,852
3255,779
3256,793
3257,878
3258,914
3259,887
325,1015
3260,977
3261,1064
3262,1013
3263,948
3264,986
3265,1091
3266,970
3267,913
3268,1029
3269,968
326,1030
3270,1023
3271,968
3272,921
3273,1147
3275,1099
3276,949
3277,1015
3278,1184
327,1167
3280,1052
3281,1138
3282,1135
3283,1122
3285,1013
3286,972
3287,1004
3288,993
3289,850
328,786
3290,709
3291,696
3292,782
3293,944
3294,860
3295,977
3296,1030
3297,848
3298,797
3299,766
329,844
32,818
3300,900
3301,868
3302,1165
3303,977
3304,1079
3305,992
3306,960
3307,1219
3308,1283
3309,1268
330,990
3310,921
3311,980
3312,951
3313,1097
3314,868
3315,869
3316,1281
3317,1011
3318,950
3319,977
331,865
3320,944
3321,932
3322,1031
3323,1191
3324,928
3325,1250
3326,769
3327,660
3328,821
3329,711
332,729
3330,749
3331,813
3332,697
3333,955
3334,841
3335,1041
3336,1189
3337,948
3338,881
3339,901
333,970
3340,1328
3341,1238
3342,1509
3343,1197
3344,1026
3345,1090
3346,1007
3347,1080
3348,1113
3349,1098
334,1074
3350,891
3352,1047
3353,933
3354,1071
3355,1029
3356,1318
3357,1392
3358,1290
3359,1140
335,923
3360,888
3361,943
3362,912
3363,918
3364,988
3365,893
3366,924
3367,933
3368,984
3369,1211
336,995
3370,1417
3371,1061
3372,974
3373,946
3374,919
3375,900
3376,982
3377,894
3378,1131
3379,959
337,1247
3380,941
3381,775
3382,754
3383,798
3384,771
3385,827
3386,846
3387,747
3388,806
3389,766
338,753
3390,919
3391,795
3392,757
3393,759
