directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.net.URI, Template5, URI 14 vs 2, False, 0.2943674147963425, 0.3839531326323367,0.5185185185185185, 0.4444444444444444,0.39375, 0.3375
java.net.URL, Template1, URL 15 vs 14, False, 0.7794782310200813, 0.947948428383211,0.05, 0.045454545454545456,0.045454545454545456, 0.045454545454545456
java.net.URL, Template2, URL 13 vs 12, False, 0.7495566634322616, 0.9458962090541039,0.08823529411764706, 0.0,0.0715909090909091, 0.0
java.net.URL, Template3, URL 14 vs 17, False, 0.5166463370883261, 0.7375596911679386,0.1875, 0.11764705882352941,0.16193181818181818, 0.10795454545454546
java.net.URL, Template4, URL 14 vs 16, False, 0.316381490534692, 0.3582747527701656,0.3333333333333333, 0.3333333333333333,0.2719941348973607, 0.1942815249266862
java.sql.SQLException, Template1, SQLException 2 vs 3, True, 0.8336594911937378, 0.9980430528375734,0.0, 0.0,0.0, 0.0
java.sql.SQLException, Template2, SQLException 11 vs 12, False, 0.6933382633201621, 0.8845624004477162,0.09615384615384616, 0.05084745762711865,0.0847457627118644, 0.05084745762711865
java.sql.SQLException, Template3, SQLException 5 vs 12, False, 0.16690457255109875, 0.5918792525676841,0.4166666666666667, 0.1276595744680851,0.0847457627118644, 0.1016949152542373
java.sql.Statement, Template1, Statement 6 vs 9, False, 0.7449920971047732, 0.895506488816348,0.0, 0.02,0.0, 0.019801980198019802
java.sql.Statement, Template2, Statement 12 vs 13, True, 0.8349705304518664, 0.9980353634577603,0.0, 0.0,0.0, 0.0
java.sql.Statement, Template3, Statement 7 vs 1, True, 0.7409287976846999, 0.9873424752746001,0.0, 0.0,0.0, 0.0
java.sql.Statement, Template4, Statement 2 vs 8, False, 0.5108072567692377, 0.8356757090273854,0.18181818181818182, 0.012658227848101266,0.08589377498572244, 0.010736721873215305
java.util.Arrays, Template1, Arrays 1 vs 5, True, 0.021269202139161947, 0.9725594985611391,0.0, 0.0,0.0, 0.0
java.util.Arrays, Template2, Arrays 22 vs 23, False, 0.2630057803468208, 0.42525773195876293,0.75, 0.46153846153846156,0.6675824175824177, 0.44505494505494503
java.util.Arrays, Template3, Arrays 15 vs 17, False, 0.3408496732026144, 0.4920293320580265,0.3888888888888889, 0.2777777777777778,0.3111111111111111, 0.2222222222222222
java.util.Arrays, Template4, Arrays 28 vs 29, True, 0.8647686832740213, 0.998220640569395,0.0, 0.0,0.0, 0.0
java.util.Arrays, Template5, Arrays 24 vs 27, False, 0.414975845410628, 0.8319590030281854,0.3793103448275862, 0.0,0.2723429951690821, 0.0
java.util.Arrays, Template6, Arrays 2 vs 3, False, 0.5468874366385992, 0.7091281526053002,0.3125, 0.1875,0.2579365079365079, 0.15476190476190477
java.util.Arrays, Template7, Arrays 6 vs 7, False, 0.5468874366385992, 0.7091281526053002,0.3125, 0.1875,0.2579365079365079, 0.15476190476190477
java.util.Collections, Template10, Collections 13 vs 11, False, 0.32776792750197004, 0.511327817178881,0.375, 0.2222222222222222,0.22142857142857142, 0.14761904761904762
java.util.Collections, Template11, Collections 34 vs 35, False, 0.4536608408124705, 0.5863095238095237,0.25, 0.3,0.17424242424242425, 0.26136363636363635
java.util.Collections, Template1, Collections 17 vs 18, True, 0.8321995464852607, 0.999244142101285,0.0, 0.0,0.0, 0.0
java.util.Collections, Template2, Collections 7 vs 36, False, 0.31945656238314846, 0.42206971284088857,0.5555555555555556, 0.36363636363636365,0.39682539682539686, 0.31746031746031744
java.util.Collections, Template3, Collections 4 vs 3, False, 0.6743101858879194, 0.7989673036957756,0.07692307692307693, 0.047619047619047616,0.05823209049015501, 0.043674067867616254
java.util.Collections, Template4, Collections 20 vs 27, False, 0.2732974657990855, 0.3047713035269887,0.5769230769230769, 0.45454545454545453,0.47031772575250835, 0.31354515050167225
java.util.Collections, Template5, Collections 16 vs 15, False, 0.6854135264029257, 0.8928191949393363,0.08695652173913043, 0.04,0.08, 0.04
java.util.Collections, Template6, Collections 5 vs 37, False, 0.25461176754280207, 0.3602646351242983,0.5, 0.5454545454545454,0.3559027777777778, 0.4270833333333333
java.util.Collections, Template7, Collections 26 vs 22, False, 0.22545887593685476, 0.27721146498886345,0.5277777777777778, 0.4,0.33045977011494254, 0.24349667271627345
