directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_completeness_v2,generalization_completeness_v2,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.lang.Exception,Template4,Exception2vs5,False,0.49761092932937834,0.6182961953909841,0.5415364512651897,0.6762463843415818,0.14285714285714285,0.17073170731707318,0.09858630952380952,0.13802083333333331
java.lang.Exception,Template5,Exception14vs13,False,0.7386363636363636,0.8998651184611776,0.7940371679398016,0.9323005738608292,0.09836065573770492,0.04477611940298507,0.08893280632411067,0.044466403162055336
java.lang.Exception,Template6,Exception25vs24,False,0.5486643932935493,0.9222488038277512,0.5486643932935493,0.9416204887752202,0.0,0.02127659574468085,0.0,0.022474747474747474
java.lang.Exception,Template7,Exception9vs10,False,0.622077922077922,0.8727272727272728,0.6012987012987012,0.8727272727272728,0.037037037037037035,0.0,0.023255813953488372,0.0
java.net.HttpURLConnection,Template10,HttpURLConnection17vs4,False,0.8551659221790096,0.9653666749337046,0.851043758976777,0.9649565026613502,0.010869565217391304,0.009708737864077669,0.009708737864077669,0.009708737864077669
java.net.HttpURLConnection,Template11,HttpURLConnection14vs13,False,0.8680128635173172,0.9630253458403266,0.8640015693427463,0.9630253458403266,0.012987012987012988,0.010869565217391304,0.010869565217391304,0.010869565217391304
java.net.HttpURLConnection,Template1,HttpURLConnection21vs19,False,0.6506413022684705,0.8319393973844161,0.655719446384639,0.8662866320861529,0.09259259259259259,0.0410958904109589,0.06563988159080184,0.039383928954481104
java.net.HttpURLConnection,Template2,HttpURLConnection23vs26,False,0.328921568627451,0.3715606681537584,0.3377639037213505,0.4521071223198883,0.4642857142857143,0.36666666666666664,0.3183408295852074,0.2693653173413293
java.net.HttpURLConnection,Template3,HttpURLConnection10vs9,False,0.7001609616237614,0.8319867785878361,0.6691716573407493,0.831547411276764,0.12,0.04395604395604396,0.09782608695652174,0.043478260869565216
java.net.HttpURLConnection,Template4,HttpURLConnection27vs28,False,0.688649177392924,0.8909859224744721,0.6955487536365803,0.9159958995979007,0.09615384615384616,0.05084745762711865,0.0847457627118644,0.05084745762711865
java.net.HttpURLConnection,Template5,HttpURLConnection1vs2,True,0.8163620539599652,0.999129677980853,0.8163620539599652,0.999129677980853,0.0,0.0,0.0,0.0
java.net.HttpURLConnection,Template6,HttpURLConnection22vs24,False,0.4795648893360161,0.6965654182777536,0.5181831706059825,0.7403486446125624,0.2553191489361702,0.08130081300813008,0.18207942985229036,0.07586642910512098
java.net.HttpURLConnection,Template7,HttpURLConnection6vs16,False,0.8684055412888467,0.9625687404018326,0.8643926311563681,0.9625687404018326,0.012987012987012988,0.010869565217391304,0.010869565217391304,0.010869565217391304
java.net.HttpURLConnection,Template8,HttpURLConnection12vs29,False,0.8114984698692114,0.9410022136186049,0.806199895933468,0.9416733545582023,0.01694915254237288,0.013888888888888888,0.013888888888888888,0.013888888888888888
